Company                       Product                       Description
SemiAnalysis                  Transistor Radio              A podcast that delves into semiconductor market trends, industry news, and subsegment analyses, featuring live webinars and detailed discussions.
SemiAnalysis                  SemiAnalysis AI Accelerator ModelA model that breaks down the shipment volume of the different GB200 SKUs by quarter, including customized variants to various clouds, and provides component contribution analysis, with subscription discounts available for users.
SemiAnalysis                  ClusterMAX-NCCL               A one-liner tool for running NCCL tests to benchmark and validate cluster networking performance.
SemiAnalysis                  GB200 Component & Supply Chain BoM ModelA model that details the components, pricing, quantities, and supplier landscape for various GB200 SKUs, covering systems like GB200 NVL72/NVL36 and GB200A NVL36.
SemiAnalysis                  ClusterMAX™ Rating System     A rating system designed to evaluate GPU cloud providers based on a comprehensive set of criteria including security, performance, reliability, and pricing.
Semiconductor Manufacturing International CorporationKirin 9000S mobile SoC        A mobile system-on-chip produced using advanced semiconductor processes.
ServiceNow, Inc.              ServiceNow Pro Plus           A subscription plan that integrates AI features for automatic issue resolution, priced about 30% higher than the older Pro plan with usage limits that can be expanded for additional cost.
ServiceNow, Inc.              ServiceNow AI Consulting ServiceA high-touch, AI-driven consulting service designed for marquee clients to help them understand and implement AI tools within their existing workflows.
SiFive                        X280                          A RISC-V core product that represents SiFive’s innovative approach using higher-level hardware design languages.
SiFive                        P670                          A SiFive RISC-V core product that further extends the company's reach into high-performance processor design.
SiFive                        P470                          Another RISC-V core in SiFive's portfolio, emphasizing scalability and performance.
SiFive Inc.                   X280 Core                     A high-performance RISC-V CPU core featuring a wide vector pipeline, support for bfloat, matrix multiplies, and quantization. It is used in a range of applications from automotive to datacenter hypervisors.
SiFive, Inc.                  SiFive P550 CPU               A high-performance CPU core design that is compared favorably with older Arm Cortex designs.
Silicon Motion                SSD Controllers               Chips used in client and data center SSDs, with expectations for significant market share growth in high-end PCIe Gen 4 SSDs and developments targeting PCIe Gen 5.
Silicon Motion                UFS Controller 3.1            A memory controller product designed for mobile devices that leverages TSMC’s 16-nanometer process technology, noted as facing supply constraints.
Stanford University           Alpaca                        A variant of LLaMA enriched with instruction tuning, released shortly after LLaMA was leaked, demonstrating fast fine-tuning using low rank adaptation.
Swaysure                      Capacitorless 3D DRAM         An advanced DRAM product that overcomes conventional memory design limitations, exemplifying breakthroughs in semiconductor technology.
TSMC                          TSMC N2                       A GAA process node offering approximately 15% speed improvement, 30% power reduction, and improved density scaling along with multiple threshold voltage levels.
TSMC                          TSMC CoWoS-R+                 An evolution of CoWoS technology using an organic substrate with RDL layers to support high-density, high-speed interconnects.
TSMC                          TSMC 4th Generation SoIC      A next-generation chip-on-wafer hybrid bonding technology featuring a 3-micron pitch and capability of 100,000 bond pads per mm².
TSMC                          AI chip                       A chip designed for artificial intelligence applications for which TSMC recently received a large order.
TSMC                          TSMC SoIC                     Next-generation 3D packaging technology that employs hybrid bonding and a sub-15 µm TSV interconnect pitch to achieve higher density interconnects.
Taiwan Semiconductor Manufacturing Company Limited (TSMC)N3E Process Node              An improved iteration of the N3 process that offers a better manufacturing process window, enhanced performance, lower defect density, and similar cost compared to N3; volume production is scheduled approximately one year after N3.
Taiwan Semiconductor Manufacturing Company Limited (TSMC)N3 Process Node               A 3‑nanometer semiconductor manufacturing process node that is now shipping in Q1 2023 after a delay, with mass production in the latter half of 2022.
Tanzanite Silicon Solutions   Smart Logic Interface Connector (SLIC) SoCAn ASIC that connects to other chips via CXL and standard DDR DIMMs, enabling independent scaling and the pooling of memory and compute resources across servers.
Tenstorrent                   Wormhole                      A chip or machine-scale hardware system intended for data center deployment, with plans for large installations.
Tenstorrent                   Jawbridge                     An earlier chip architecture in Tenstorrent’s evolution referenced in prior discussions of their hardware developments.
Tenstorrent                   Buda                          A software platform built for PyTorch that allows seamless deployment and scaling of models from single-chip setups to thousands of interconnected systems.
Tenstorrent                   Blackhole                     An upcoming chip based on TSMC 6nm technology that increases compute, integrates additional RISC-V CPU cores (licensed from SiFive), and transitions memory from GDDR6 to DDR5.
Tenstorrent                   TenSix                        A processing array architecture that uses an array of RISC-V cores alongside a packet manager to handle mini-tensors and drive the chip’s performance.
Tenstorrent                   Grayskull                     A second-generation chip built on GlobalFoundries 12nm technology, claimed to offer performance similar to Nvidia’s A100 GPU but with higher density and efficiency.
Tenstorrent                   Grendel                       A forthcoming chip on TSMC 4nm technology that further increases compute performance and features in-house designed 64 RISC-V CPU cores with advanced ethernet switching.
Tenstorrent Inc.              TenSix Processor Tile         A processor tile product that incorporates the X280 CPU core, used in Tenstorrent’s offerings for AI and high-performance computing.
Tenstorrent Inc.              Nebula                        A 4U server chassis designed to house 32 Wormhole chips, interconnected in a full mesh to enable scaling across servers.
Tenstorrent Inc.              Jawbridge                     A small testchip developed as a proof-of-concept for Tenstorrent’s architecture, demonstrating low power and impressive power/performance characteristics.
Tenstorrent Inc.              GraySkull                     A commercial chip featuring 128 Tensix cores and a scalable network on chip, produced on a 620mm² die using GlobalFoundries 12nm technology, and noted for its first tapeout success (A0 silicon).
Tenstorrent Inc.              Galaxy                        A rack-level solution comprising 8 Nebula chassis, 4 AMD Epyc servers and a large shared memory pool, enabling extensive AI training with high memory and networking capacity.
Tenstorrent Inc.              Wormhole                      An advanced chip built on a 670mm² die (GlobalFoundries 12nm) that significantly scales performance, memory bandwidth, and networking capabilities with integrated 100Gb Ethernet ports. It is offered as both a PCIe add-in card and a module variant, and underpins Tenstorrent’s scale-out AI approaches.
Tesla                         Tesla chip                    A chip image speculated to use an unorthodox packaging approach resembling TSMC’s InFO_SoW, posted by Dennis Hong, and associated with Tesla AI Day.
Tesla                         Tesla Optimus                 A humanoid robot project mentioned as underperforming in demonstration compared to Chinese developments.
Tesla                         ExaPod Supercomputer          An integrated supercomputing system design that leverages the Tesla D1 Dojo chip along with custom interconnects and exotic packaging to deliver exascale performance for training autonomous driving AI.
Tesla                         Tesla D1 Dojo Chip            A custom AI chip designed to train massive multi-trillion parameter networks, featuring innovative on-wafer packaging, limited on-die SRAM paired with high throughput FP16/CFP8 computation, and high-bandwidth chip-to-chip interconnect.
Tesla                         Dojo supercomputer            A high-power, AI training supercomputer design expected to scale for huge AI workloads and requiring advanced cooling solutions.
Tesla                         Tesla Dojo 1                  A high-profile system that utilizes integrated fan out packaging on a wafer scale, serving as an example of advanced packaging applied to high performance computing.
Tesla, Inc.                   D1 Training Chip              Tesla’s in-house AI training chip designed for both automotive and datacenter applications, featuring innovative packaging methods.
Tesla, Inc.                   D1 Dojo Chip                  An AI training chip designed with GPU-level compute, CPU-level flexibility, and high networking bandwidth to run large neural networks efficiently.
Tesla, Inc.                   Dojo Supercomputer            A supercomputer platform used for training Tesla’s AI models with data collected from its vehicle fleet.
Tesla, Inc.                   Training Tile                 A fan-out wafer-based package that integrates 25 D1 Dojo chips, delivering high performance and off-chip bandwidth for scalable AI training systems.
Tesla, Inc.                   Second-generation Full Self-Driving (FSD) ChipThe next-generation chip powering Tesla’s vehicles, featuring 20 Arm Cortex-A72 cores, three NPU cores with dedicated SRAM, and improved memory bandwidth for autonomous driving inference.
Tesla, Inc.                   Phoenix Radar                 An in-house designed automotive radar system that integrates with the camera system to enhance vehicle safety through sensor fusion.
Tokyo Electron                Photoresist Coaters and DevelopersEquipment used to apply and develop photoresist layers during the lithography process.
Tokyo Electron                TEL Acrevia                   A tool used for complementary patterning, aiding in advanced lithographic processes.
Tokyo Electron                Clean Track Lithius Pro Z     A coater/developer tool used to deposit and process chemically amplified resists on wafers in EUV lithography, used in conjunction with ASML photolithography systems.
Tokyo Electron Limited        CLEAN TRACK LITHIUS Pro Z     A lithography resist track tool that coats a wafer with photoresist solution and subsequently develops it, and is the only tool in the world capable of coating and developing a wafer with EUV photoresist.
USI                           USI mmWave Antenna Modules    Three custom mmWave antenna modules built by USI for integration into the iPhone 12, representing the company’s first design win in this area.
Uber                          Uber One                      A subscription service from Uber offering free delivery and cash-back programs; Perplexity used promotions such as free full-year subscriptions for some Uber One subscribers.
Unitree                       Unitree G1                    A commercially available humanoid robot noted for its low price and viability in the market.
University of California, BerkeleyKoala                         A dialogue model trained entirely on freely available data which, in human evaluations, performed comparably to ChatGPT during 50%+ of comparisons.
Veeco Technologies Inc.       Ion Beam Deposition Tool      A tool used for ion beam deposition, critical in manufacturing hard drive heads.
Veeco Technologies Inc.       EUV Mask Deposition Tool      A tool that performs ion deposition for EUV masks, depositing molybdenum, silicon and applying a ruthenium capping layer for reflective mask structures.
Veeco Technologies Inc.       Wet Processing System         A system used for metal lift-off, wafer cleaning, and processing in HBM memory fabrication and advanced packaging applications.
Veeco Technologies Inc.       Propel Nanowire MicroLED Tool A tool aimed at the microLED market, particularly for red microLED manufacturing via pick and place, with potential to grow if monolithic microLED processes are developed.
Veeco Technologies Inc.       Laser Annealing System        A front-end tool used for selective annealing processes, such as for gate-all-around devices, offering improved dopant activation with minimal diffusion.
Veeco Technologies Inc.       Lithography Tool for Advanced PackagingA lithography system acquired through the Ultratech acquisition, used to pattern copper pillars and TSVs in advanced packaging processes.
Veeco Technologies Inc.       MOCVD Equipment for LEDs      Equipment designed for metal organic chemical vapor deposition (MOCVD) used in LED epitaxial growth.
Ventana Micro Systems         VT2                           A follow-on CPU chiplet design that will include the RISC-V Vector extensions, improving performance further.
Ventana Micro Systems         Veyron VT1                    A RISC-V CPU chiplet featuring an 8‐wide out-of-order design, a 512KB instruction cache, and 3MB L3 cache slices per core, aimed at delivering high performance across datacenter, network, and 5G applications.
Western Digital Corporation   XL-Flash-2                    A second-generation storage class memory product that leverages 16-plane MLC NAND, offering significant performance benefits for large-scale, low latency deployments.
Windsurf                      SWE-1                         A family of AI models designed for software engineering tasks.
X.AI                          X.AI Grok                     A language model that competes with GPT-3.5 on numerous benchmarks.
Xilinx                        Versal                        A leading-edge FPGA product line contributing significantly to datacenter growth.
Xilinx                        Zync                          A programmable logic product line that, together with Versal, highlights competitiveness in the FPGA market.
YMTC                          Xtacking 3.0                  A 1Tb TLC NAND product marketed as the industry’s densest NAND with a density of 15.2Gbit/mm2, featuring more than 230 layers and a 6-plane architecture.
Yangtze Memory Technologies Company (YMTC)128 Layer TLC NAND            A 3D NAND flash memory product that utilizes competitive design and manufacturing techniques to achieve high die bit density and performance.
nVent Electric plc            Rear-Door Heat Exchanger (RDHx)An in‐rack cooling solution that places a heat exchanger on the rear door of a server rack to extract heat, thereby reducing the need for complete room-level airflow management.
xAI                           xAI’s Grok models             Artificial intelligence models available for purchase through Microsoft's Azure cloud platform.
安谋科技                          Power Core (XPU line)         A rebranded IP suite including various processing units such as NPUs (neural), SPUs (security), ISPs (image signal), and VPUs (video) designed for mobile, network infrastructure, 5G, and IoT applications.
